情形;qíngxing;circumstances, situation
仁慈;réncí;benevolent, kindhearted, charitable
隧道;suìdào;tunnel
无比;wúbǐ;matchless, incomparable
导弹;dǎodàn;guided missile, cruise missile
一向;yíxiàng;all along, the whole time, constantly, always
突破;tūpò;break through, breakthrough
本事;běnshi;ability, skill, capability, (-shì: this matter, literary source)
指令;zhǐlìng;order, command, instruction
石油;shíyóu;oil, petroleum
撤退;chètuì;retreat
悲惨;bēicǎn;miserable, tragic
模式;móshì;model, pattern, method
风暴;fēngbào;storm, violent commotion
忽略;hūlüè;ignore, forget about, neglect
外表;wàibiǎo;outward appearance, external, outside
额外;éwài;extra, added, additional
干扰;gānrǎo;interfere, obstruction
防守;fángshǒu;to defend, protect, to guard
牵;qiān;to lead along, to pull (an animal on a tether)
欺负;qīfu;to bully, intimidate
挽救;wǎnjiù;to rescue, retrieve, to remedy
酗酒;xùjiǔ;heavy drinking, drink to excess, binge drink
脱离;tuōlí;to separate oneself from, to break away from, be divorced from, diastasis (medicine), abscission, abjunction (botany)
节奏;jiézòu;rhythm, cadence, tempo
枕头;zhěntou;pillow
拼命;pīn mìng;risk one's life, desperately, with all one's might
操作;cāozuò;operate, manipulate
情节;qíngjié;plot, circumstances
屏幕;píngmù;screen (TV, etc.)
简体字;jiǎntǐzì;simplified Chinese characters
吊;diào;hang, suspend
过于;guòyú;too much, excessively
呵;hē;breathe out, scold
井;jǐng;a well
访问;fǎngwèn;to visit, call on, to interview
细胞;xìbāo;cell (biology)
慷慨;kāngkǎi;vehement, fervent, generous
潜力;qiánlì;potential, capacity
举动;jǔdòng;action, act, (make) a move, movement
鸽子;gēzi;dove, pigeon
抗议;kàngyì;to protest, protest
周年;zhōunián;anniversary, annual
财富;cáifù;wealth, riches, fortune
政策;zhèngcè;policy
指责;zhǐzé;to censure, criticize, find fault with
哭泣;kūqì;weep, cry, sob
良心;liángxīn;conscience
侄子;zhízi;nephew, brother's son or daughter
容忍;róngrěn;put up with, tolerate, condone
渣;zhā;dregs, slag
清除;qīngchú;eliminate, get rid of
尊严;zūnyán;dignity, sanctity, honor
收音机;shōuyīnjī;radio
伴侣;bànlǚ;companion, partner, mate
遭受;zāoshòu;suffer, suffering, be subjected to (something unfortunate)
肿瘤;zhǒngliú;tumor, neoplasm
预算;yùsuàn;budget
气味;qìwèi;odor, scent
发布;fābù;issue, announce, release
患者;huànzhě;sufferer, patient, the sick
滋味;zīwèi;taste, flavor, the way one feels
手法;shǒufǎ;technique, trick, skill, tact
涉及;shèjí;involve, relate to, to touch upon (a topic)
征服;zhēngfú;conquer, subdue
作弊;zuòbì;practice fraud, cheat
报仇;bàochóu;retaliate, to revenge, avenge
浑身;húnshēn;entire body, from head to foot
收藏;shōucáng;collect, keep
布置;bùzhì;arrange, decorate, decoration
泄露;xièlòu;leak (information), divulge
着迷;zháomí;to be fascinated
典礼;diǎnlǐ;celebration, ceremony
皆;jiē;all, each and every, in all cases
抵抗;dǐkàng;resist, resistance
战术;zhànshù;(military) tactics
操纵;cāozòng;operate, control, manipulation
局面;júmiàn;aspect, situation
设置;shèzhì;set up, install, to fit
奇妙;qímiào;wonderful, fantastic
消除;xiāochú;eliminate, remove, clear up (abstract things）
代理;dàilǐ;acting (temporarily filling a position), agent
防止;fángzhǐ;prevent, protect, guard against, avoid
纯粹;chúncuì;purely, pure
场面;chǎngmiàn;scene, occasion
窝;wō;nest, den
幢;zhuàng, chuáng;(mw for houses, buildings), tent | ancient pennant/streamer, Buddhist stone pillar
超越;chāoyuè;surpass, exceed, transcend
明明;míngmíng;obviously, plainly, undoubtedly
原始;yuánshǐ;first, original, primitive
不惜;bùxī;to not hesitate, not spare
祖父;zǔfù;paternal grandfather
永恒;yǒnghéng;eternal, everlasting
弱点;ruòdiǎn;weak point, failing
投诉;tóusù;make a complaint, appeal to a court
高潮;gāocháo;high tide, upsurge, climax, chorus (of a song)
拽;zhuài, yè, zhuāi, zhuǎi;drag, haul | drag | to throw, to fling
火焰;huǒyàn;blaze, flame
服从;fúcóng;to obey, to comply
信念;xìnniàn;faith, belief, conviction
贿赂;huìlù;to bribe
签署;qiānshǔ;sign (an agreement)
故障;gùzhàng;malfunction, breakdown
舱;cāng;cabin, hold (of a ship or airplane)
打仗;dǎzhàng;fight, go to war, fight a battle
创作;chuàngzuò;create, to produce, creative work
分散;fēnsàn;to scatter, disperse, distribute
咋;zǎ, zhā, zhà;how/why (contraction of 怎么) | to bite down
降临;jiànglín;befall, descend； arrive； come
棕色;zōngsè;brown (the color)
推测;tuīcè;speculate, conjecture, surmise
官方;guānfāng;official, (by the) government
坟墓;fénmù;tomb, sepulcher
曲子;qǔzi;folk tune, music, melody
实施;shíshī;to implement, put into effect, carry out
贵族;guìzú;lord, nobility, nobleman, noblewoman
陈述;chénshù;allegation, assertation, to declare, to state
敞开;chǎngkāi;open wide
边境;biānjìng;border, frontier
掩饰;yǎnshì;conceal a fault, gloss over
维护;wéihù;defend, to safeguard, defense, maintain
终点;zhōngdiǎn;the end, end point, destination, finish line (in a race)
野蛮;yěmán;barbarous, uncivilized, cruel, wild
厌恶;yànwù;loathe, to hate, detest
责怪;zéguài;blame, rebuke
漫长;màncháng;very long, endless
赞助;zànzhù;support, sponsor
预料;yùliào;anticipate, to forecast, expectation
正当;zhèng dāng;timely, just when, (dàng) proper
堕落;duòluò;morally degenerate, become depraved
合并;hébìng;merge, annex
丢人;diū rén;lose face, be disgraced
极端;jíduān;extreme
年度;niándù;year (e.g. school year, fiscal year, etc.), annual
机械;jīxiè;machine, mechanical
拘留;jūliú;detain (a prison), keep (someone) in custody
刹车;shā chē;brake (when driving), stop, switch off
裁判;cáipàn;judge, to referee, judgment
巡逻;xúnluó;to patrol (police, army or navy)
噪音;zàoyīn;uproar, rumble, noise, static
分裂;fēnliè;split up, to divide, separate
定义;dìngyì;definition
呕吐;ǒutù;to vomit, retch, nausea
羞耻;xiūchǐ;(a feeling of) shame
清洁;qīngjié;clean, unpolluted, purity
恐吓;kǒnghè;to threaten
轨道;guǐdào;orbit, railway, trajectory
视线;shìxiàn;line of sight, view line
帐篷;zhàngpeng;tent
串;chuàn;string together, conspire, gang up, mix up, bunch
遗传;yíchuán;inherit, hereditary
血压;xuèyā;blood pressure
氧气;yǎngqì;oxygen
十足;shízú;full of, complete, 100 percent
携带;xiédài;take with, portable
检验;jiǎnyàn;inspect, examine, to test
守护;shǒuhù;guard, defend, protect
鉴于;jiànyú;in light of, in view of, seeing that
误解;wùjiě;misunderstand, misread
震撼;zhènhàn;to shake
例外;lìwài;(make an) exception
跳跃;tiàoyuè;jump, leap, bound, skip
